source,title,authors,doi,arxiv_id,published_date,year,container_title,venue,publisher,abstract,keywords,is_open_access,url,download_url,local_path,download_date,citation_count,type
arxiv,"Engineering Carbon Credits Towards A Responsible FinTech Era: The Practices, Implications, and Future",Qingwen Zeng; Hanlin Xu; Nanjun Xu; Flora Salim; Junbin Gao; Huaming Chen,,2501.14750v1,2024-12-22,,,,,"Carbon emissions significantly contribute to climate change, and carbon
credits have emerged as a key tool for mitigating environmental damage and
helping organizations manage their carbon footprint. Despite their growing
importance across sectors, fully leveraging carbon credits remains challenging.
This study explores engineering practices and fintech solutions to enhance
carbon emission management. We first review the negative impacts of carbon
emission non-disclosure, revealing its adverse effects on financial stability
and market value. Organizations are encouraged to actively manage emissions and
disclose relevant data to mitigate risks. Next, we analyze factors influencing
carbon prices and review advanced prediction algorithms that optimize carbon
credit purchasing strategies, reducing costs and improving efficiency.
Additionally, we examine corporate carbon emission prediction models, which
offer accurate performance assessments and aid in planning future carbon credit
needs. By integrating carbon price and emission predictions, we propose
research directions, including corporate carbon management cost forecasting.
This study provides a foundation for future quantitative research on the
financial and market impacts of carbon management practices and is the first
systematic review focusing on computing solutions and engineering practices for
carbon credits.",cs.CY; cs.LG,True,http://arxiv.org/abs/2501.14750v1,http://arxiv.org/pdf/2501.14750v1,"carbon_papers\Engineering Carbon Credits Towards A Responsible FinTech Era: The Practices, Implications, and Future.pdf",2025-05-14,,
crossref,Regulating Carbon Emission Under Rate-Based Carbon Emission Trading Scheme Through Benchmark Emission Intensity and Carbon Price,Ken Cheng; Yuanjie Xi; Guanjiang Wan; Keyu Ai; Wenbin Liu,10.2139/ssrn.4659552,,2023,,,,,,,False,https://doi.org/10.2139/ssrn.4659552,,,,,posted-content
crossref,Carbon emission rights and carbon emission reduction target,Wenju Wang,10.4324/9781003388500-2,,2023-03-03,,Price Analysis of China's Carbon Emissions,,,,,False,https://doi.org/10.4324/9781003388500-2,,,,,book-chapter
crossref,Forecasting short-term carbon emission futures price volatility: information for hedging carbon emission futures risk,Collins C. Ngwakwe,10.21511/ee.08(4).2017.01,,2017-12-05,,Environmental Economics,,,,,True,https://doi.org/10.21511/ee.08(4).2017.01,https://businessperspectives.org/images/pdf/applications/publishing/templates/article/assets/9610/EE_2017_04_Ngwakwe.pdf,carbon_papers\Forecasting short-term carbon emission futures price volatility: information for hedging carbon emission futures risk.pdf,2025-05-14,,journal-article
crossref,Figure 3.2. Carbon emission reductions with a densification policy,,10.1787/888932342354,,,,,,,,,False,https://doi.org/10.1787/888932342354,,,,,component
crossref,Does the Carbon Emission Trading Policy Promote Carbon Emission Reduction and Carbon Transfer in China?,Xinyuan Wang; Daisheng Tang; Tao Bu; Zhen Zhang,10.2139/ssrn.4489405,,2023,,,,,,,False,https://doi.org/10.2139/ssrn.4489405,,,,,posted-content
crossref,5.7. Carbon prices under a 50% emission cut by 2020,,10.1787/725680227687,,,,,,,,,False,https://doi.org/10.1787/725680227687,,,,,component
crossref,Electron field emission from diamond and diamond-like carbon for field emission displays,J. Robertson,10.1016/s0008-6223(98)00267-x,,1999-04,,Carbon,,,,,False,https://doi.org/10.1016/s0008-6223(98)00267-x,,,,,journal-article
crossref,Carbon Capitalism in China: Does Carbon Emission Trading Widen the Divide of Carbon Emission Inequality?,Qingyang Wu; Linshuang Yang; Xinyu Dou; Minghao Qiu; Lei Jiang,10.2139/ssrn.4621406,,2023,,,,,,,False,https://doi.org/10.2139/ssrn.4621406,,,,,posted-content
crossref,Shared Responsibility for Carbon Emission Based on Embodied Carbon Emission in China-US Trade,Yulong Zhang; Binbin Pan,10.21203/rs.3.rs-1120936/v1,,2021-12-21,,,,,,,False,https://doi.org/10.21203/rs.3.rs-1120936/v1,,,,,posted-content
crossref,Future Cities Carbon Emission Models: Hybrid Vehicle Emission Modelling for Low-Emission Zones,Maksymilian Mądziel,10.20944/preprints202309.1071.v1,,2023-09-18,,,,,,,True,https://doi.org/10.20944/preprints202309.1071.v1,https://www.mdpi.com/1996-1073/16/19/6928/pdf?version=1696250164,carbon_papers\Future Cities Carbon Emission Models: Hybrid Vehicle Emission Modelling for Low-Emission Zones.pdf,2025-05-14,,posted-content
crossref,Field Emission from Carbon Nanotubes,,10.1201/b15591-12,,2013-10-24,,Carbon Nanomaterials,,,,,False,https://doi.org/10.1201/b15591-12,,,,,book-chapter
crossref,Carbon emission path clusters: emission profiling to identify anomalies in carbon emission paths,Siqi Ma,10.1117/12.2620419,,2021-12-09,,Third International Conference on Optoelectronic Science and Materials (ICOSM 2021),,,,,False,https://doi.org/10.1117/12.2620419,,,,,proceedings-article
crossref,Carbon emission trading and technology innovation for low-carbon emission,Lina Wang,10.1109/iceceng.2011.6058285,,2011-09,,2011 International Conference on Electrical and Control Engineering,,,,,False,https://doi.org/10.1109/iceceng.2011.6058285,,,,,proceedings-article
crossref,Carbon dioxide emission trends and environmental problems in Central Europe,,10.37473/dac/10.19041/apstract/2021/1-2/6,,,,,,,,,True,https://doi.org/10.37473/dac/10.19041/apstract/2021/1-2/6,https://ageconsearch.umn.edu/record/339831/files/Rabbi.pdf,carbon_papers\Carbon dioxide emission trends and environmental problems in Central Europe.pdf,2025-05-14,,component
